path	tier	sha256	source	evidence	verified_by	notes
srv/images/bigBoxFacebookBottom.jpg	O	07f52d08bbea6ebee5671f364739608fc781f860adaa0210c3de83e1713c46e0	archive/classic-ui-images/bigBoxFacebookBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxFacebookMiddle.jpg	O	82df42ee4ca126f0985b425f0e4ab2030295e52959e76a8c2322053e578de66e	archive/classic-ui-images/bigBoxFacebookMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxFacebookTop.jpg	O	e661c9cb5a6277daf8af6c56ad96463f095df2ff2a580ee269ef32eb09119e4a	archive/classic-ui-images/bigBoxFacebookTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxFragBombMiddleAndBottom.jpg	O	c3534ce1106f850c6e3fa1174527086b071307b0009f9aa3f2df3fae018869bf	archive/classic-ui-images/bigBoxFragBombMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxGatlingMiddleAndBottom.jpg	O	6d75eb11612747861417801e1621bf2ce7929fd357043508ad94b22c52ac18e9	archive/classic-ui-images/bigBoxGatlingMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxGrayHollowBottom.jpg	O	1dd3c95c8522fe05ee7a1d4f437f7d953daeada1c0c2ff356c5403b2eb4dffd3	archive/classic-ui-images/bigBoxGrayHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxGrayHollowMiddle.jpg	O	24d0b9fb573e94c4803a77aa03e629521cc096e98e02e287f3cba65f33841ddc	archive/classic-ui-images/bigBoxGrayHollowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxGrayHollowTop.jpg	O	b319bacca4671f4e60a87d3fb7ea14c99699607999d72b23bdc7e01671610325	archive/classic-ui-images/bigBoxGrayHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxHomingMissileMiddleAndBottom.jpg	O	80b81e11184aa0bbcde3591058303b458bdc92e31da14eba77d153aeb3f2cea6	archive/classic-ui-images/bigBoxHomingMissileMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxLaserMiddleAndBottom.jpg	O	ee3a6cf49740bb8225fc8dc8ac094d8c992179a93c01dfccd7a93d8816a0b7ac	archive/classic-ui-images/bigBoxLaserMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxLimeHollowBottom.jpg	O	45f8809fdcc0759e028b7458b6ae02243173dc27c4c1f96d6c9c1c86e7f050bf	archive/classic-ui-images/bigBoxLimeHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxLimeHollowMiddle.jpg	O	f127f3db94609ae6c2381a2ed8e6c347cb9222644f58b88368dab2573515a315	archive/classic-ui-images/bigBoxLimeHollowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxLimeHollowTop.jpg	O	14d9011f14091d87f3e50bea1e49efd7c78a9111572a93c07f50500696039ce7	archive/classic-ui-images/bigBoxLimeHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxOrangeBottom.jpg	O	4cbf6142def9129447ba909fddbd5059420ab24715e3b278e4ca441bb56fa6a4	archive/classic-ui-images/bigBoxOrangeBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxOrangeMiddle.jpg	O	ec681834791e76fb5f1124515968c4c0d4689e00821f6a8423f35554427be38c	archive/classic-ui-images/bigBoxOrangeMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxOrangeTop.jpg	O	a9390660939f182ac51dbe57ff3ca72e3ecb75b4bcaad5ce8f87dd956a780197	archive/classic-ui-images/bigBoxOrangeTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxRCMissileMiddleAndBottom.jpg	O	4107a4033c30e4e488704e9e86b0d1073f5d431dfddfeb4b18ebfaab742347c3	archive/classic-ui-images/bigBoxRCMissileMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxRedHollowBottom.jpg	O	a6b6a6f06ae07f8b102675d6b96f66f3686647cc7cf05018754de8944db26f6c	archive/classic-ui-images/bigBoxRedHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxRedHollowMiddle.jpg	O	ccfe4000d8a0e3561676a5d9d7f070bac1b66f0db5c6f0e6359a8b40d36cc7d2	archive/classic-ui-images/bigBoxRedHollowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxRedHollowTop.jpg	O	a49a3fce53752381f4df8e4687822258021b10a118b67b1557d8ab3fe6f693d7	archive/classic-ui-images/bigBoxRedHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxYellowBottom.jpg	O	65f475ff85bf4ccfb91e5d330b5fd539b2ccf815416578ac55599dd1f23d41c4	archive/classic-ui-images/bigBoxYellowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxYellowMiddle.jpg	O	9e6916b43f09c7487ac223298529e7e0b473ca9992d4943311ae5e9c39e8978e	archive/classic-ui-images/bigBoxYellowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxYellowTop.jpg	O	d3ae4f9922bc6133d80382d5ee467edd35d69aeb8d7db305c3c8b1dd048342f0	archive/classic-ui-images/bigBoxYellowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/blackHoodiePokingOut.png	O	c15af7133b2651f3ac4aa02ea652ef875935dbdcab8b8e750ee05b2350485dd7	archive/classic-ui-images/blackHoodiePokingOut.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlackBottom.jpg	O	e16366f1daed43dcc78b8dae059cff301096985e6d4236f4d8bb5155f242f224	archive/classic-ui-images/boxBlackBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlackMiddle.jpg	O	d6f261d009034388af5a37b66a2763d73ebfe5f901e857559f2905ca11d357f2	archive/classic-ui-images/boxBlackMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlackTop.jpg	O	c1160895663c9bc6b04fa88bf8f029fadc662026c6d628425d439dbc2344bcb3	archive/classic-ui-images/boxBlackTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlueBottom.jpg	O	92cef959323a544a9740d79adfe72a8c4a81a6ba4183358362100b86d18c452b	archive/classic-ui-images/boxBlueBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlueMiddle.jpg	O	7b3038f3ab7e7aa3d0ba5783704240525a91b14e37be08e5a6d270fbe919c831	archive/classic-ui-images/boxBlueMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxBlueTop.jpg	O	faa2193a41020e204802c9bf90e372e59a4a679f5969bf55ca6200e434d0d069	archive/classic-ui-images/boxBlueTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxFacebookPageTopAndMiddleAndBottom.jpg	O	9bb67b4bf3a7e70ae26317b58457d0d9fe7b487ba8b6b1453a32b8056b42fd92	archive/classic-ui-images/boxFacebookPageTopAndMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGatlingTopAndMiddleAndBottom.jpg	O	83560232882d230ec08032f2123a8e4e1d8ce01d2881eab909b7e9033c378904	archive/classic-ui-images/boxGatlingTopAndMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGrayHollowBottom.jpg	O	114a30264ed900673d467cebfdc64af1e21963987efdd0253954aa7236732528	archive/classic-ui-images/boxGrayHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGrayHollowBottomTab1Selected.jpg	O	a9de04aa38c15e33f49417b96494ba4f28e146d7b50174a5be59ab10f3a1d106	archive/classic-ui-images/boxGrayHollowBottomTab1Selected.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGrayHollowBottomTab2Selected.jpg	O	45498c182eb964884929374721ba821e3b964eaa04e58d3224d0c4256427c4ff	archive/classic-ui-images/boxGrayHollowBottomTab2Selected.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGrayHollowMiddle.jpg	O	8200cd31cd5fd351dc7d96fa421dbf0c6cc03777fe30d3e46f2c9dce1f52be97	archive/classic-ui-images/boxGrayHollowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxGrayHollowTop.jpg	O	69f2355b02f56742b1683366d1ac84edc7b8cdf075d47c226e90f7d40a29ca70	archive/classic-ui-images/boxGrayHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxHotDisclosure1CoverTopAndMiddleAndBottom.jpg	O	a0f895ebb7118bd04851ce030899842620b15404721960cc68d8eb221fed8feb	archive/classic-ui-images/boxHotDisclosure1CoverTopAndMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxLaikaTopAndMiddleAndBottom.jpg	O	1a7bfd4ba0c773f9a6edbac0971fdb213101032d10d7fe04b78b1d78de053d3e	archive/classic-ui-images/boxLaikaTopAndMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxLaserMiddleAndBottom.jpg	O	f4048c0d0ddcec482000a463a2673ce28cca197f7f4db4cdd51729306e5b18ce	archive/classic-ui-images/boxLaserMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxOrangeBottom.jpg	O	1c8fbe09e54a0361b6dcddf3230ef933587fce4e0322e6207646332af64f1af4	archive/classic-ui-images/boxOrangeBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxOrangeMiddle.jpg	O	d9b1a6dd299d398be8743e461d09a06c4ad48e42b02da76580c6ec94a4d5d165	archive/classic-ui-images/boxOrangeMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxOrangeTop.jpg	O	a505217c19b97f87be46a8df9ed16c1d12f595dc67e0abed1484a17234d023cb	archive/classic-ui-images/boxOrangeTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxRedHollowBottom.jpg	O	f25c24634d046cdba28012d06a53345fa3c6c4a90799bc0c75e1429f8d5c4b4c	archive/classic-ui-images/boxRedHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxRedHollowMiddle.jpg	O	9b0ed472663165eebf1d939f7ca9078b88181c10697ccc6c6b1a359f5cb9532e	archive/classic-ui-images/boxRedHollowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxRedHollowTop.jpg	O	02ba77d5fd6f288e707fabb07b1d9baf9dde164981e32993aff0a6a4cf048790	archive/classic-ui-images/boxRedHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxTellAFriendMiddleAndBottom.jpg	O	031308825c2b4365b765f6c7ef4d778c72a2d75f5b1330ea9a4334261cba0eae	archive/classic-ui-images/boxTellAFriendMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxYellowBottom.jpg	O	f1a59b6a53d143311405616f7c53bf745031615509435e4197e16f6e29264831	archive/classic-ui-images/boxYellowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxYellowMiddle.jpg	O	477a1855dd573d596f201be2419962eaa7bdf48b5a38471ec25f64f0133c23db	archive/classic-ui-images/boxYellowMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/boxYellowTop.jpg	O	855dccdcfe9417a674e2a2dec86dd5171cadf2a0716c16fefac12ea1a42ab50e	archive/classic-ui-images/boxYellowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/callToAction00.png	O	5a5d211dd6603392633fe0681300339ef2e220f90230b583ed709a1585ab895f	archive/classic-ui-images/callToAction00.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/callToAction01.png	O	68cc29324d11ac397f03f58ea9e04adb3486c1c5e87a7770ebcc803cb0157fc6	archive/classic-ui-images/callToAction01.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/callToAction02.png	O	59c2c3a98f966fcc355235769f845f50b1c926f45d960cf5425a074df50ad2f8	archive/classic-ui-images/callToAction02.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/callToAction03.png	O	660ec4cf698980b536e4055bc2fac399b49adf265318cdca0f51585c2115f915	archive/classic-ui-images/callToAction03.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/callToAction04.png	O	febffdf718342c6ad2ffa661436610600fcb4c3cf986bc0cee3876ae6739b4fe	archive/classic-ui-images/callToAction04.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasCandle.png	O	82abb8066fb077445d5087e39f0747e7518c3ea283345e2889aff890bc74939c	archive/classic-ui-images/christmasCandle.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent14.png	O	b1550c6c71080371c96921c6a2c131992f5a53d492ba732766fcf68558c98cd4	archive/classic-ui-images/christmasPresent14.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent15.png	O	a661a09d9bf82e909e9eda3d3f6401c8c03135548049ec6a33e32f8a5bd885c5	archive/classic-ui-images/christmasPresent15.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent2.png	O	2d83df4daed43a54c5fece2a4dbef1e78ec3b2a8ca7899db72ba4a95e3990c57	archive/classic-ui-images/christmasPresent2.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent23.png	O	0b8e20e8763918fec476699dae98cb2b31b6b71263996d4b71b07758f4718bc7	archive/classic-ui-images/christmasPresent23.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent4.png	O	bd61ee406ece46cd515944453bc8687b1f3407243010011b28a058d3223f4dad	archive/classic-ui-images/christmasPresent4.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent6.png	O	b2682a73d1db3084215eb2405861b47549ec2d2893fb6b5750b2700aa37946ae	archive/classic-ui-images/christmasPresent6.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/christmasPresent8.png	O	3dddec2b989c1f0202d1f4c1b8f7cbf16a40dfe00a1011ba4bb6653bccb8dcc3	archive/classic-ui-images/christmasPresent8.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/doctorDemitri.jpg	O	68dcc7f148af1b682deed8e8780ddca1c0602d71337d9033d756c53dfe1968e6	archive/classic-ui-images/doctorDemitri.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/facebookLogoWhite.svg	O	46c01746bc1c38f892a689577138692eb01bff6384d7fcd2fca1bb473c5eba72	archive/classic-ui-images/facebookLogoWhite.svg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowBottom.jpg	O	64fbe93ba7282f7a8f6253316cb5d26e526e2abaad0190ce56ddd0f3ff1cd7e9	archive/classic-ui-images/frameGrayHollowBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowBottomLeftCorner.jpg	O	e2bb0ab677583e65616d58b547715a9ad81e97a9050e7d9d43365f883f2935cc	archive/classic-ui-images/frameGrayHollowBottomLeftCorner.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowBottomRightCorner.jpg	O	4af752c5c11e90a79dcfd2be9f2e2bf0b8aff706d88c925aeb4e8a93d1fdf090	archive/classic-ui-images/frameGrayHollowBottomRightCorner.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowLeft.jpg	O	045b7b83d6fc96d6a4b00ba1d2c1e383e59c0430fb9dfd0f86bee921fa7bdfe3	archive/classic-ui-images/frameGrayHollowLeft.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowRight.jpg	O	f82e2861b04214a2be7421dd9cf959a36d6d301045ecf28fbbbe1fe24e61971f	archive/classic-ui-images/frameGrayHollowRight.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowTop.jpg	O	ca12406277b51d9ea6cd2b2dc22d9147d683061afbdd40143597eef6f5bab4bf	archive/classic-ui-images/frameGrayHollowTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowTopLeftCorner.jpg	O	3ed28a8ed2f670c54aaec2efd7b49640576dae44a8bfa61e82dec95213bfb59a	archive/classic-ui-images/frameGrayHollowTopLeftCorner.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/frameGrayHollowTopRightCorner.jpg	O	2e94035c0842006622040b17ae5d6012ce14426fdd8ef74421ce9efca6fc1d81	archive/classic-ui-images/frameGrayHollowTopRightCorner.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/iPhone1.1.0.jpg	O	b65d63c1d3f6bac084cd8f368c15c4f4299080c66483453323e4a3c16044b3d2	archive/classic-ui-images/iPhone1.1.0.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/jack-o-Lantern.png	O	5106a1536abe89b50b9debebcb22229dff778dfc392060f790329f2057315f6a	archive/classic-ui-images/jack-o-Lantern.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/jack-o-LanternOpen.jpg	O	2cf5b4ad8ce414714047a8d74f079a0f93c0b5828719002c43cdc9fe2e0c811d	archive/classic-ui-images/jack-o-LanternOpen.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterCrates120x125.png	O	8858bfdd0a37bcf49a7ba337cca84064e6aa8cc57bef3de4aeac2dc03ad0138b	archive/classic-ui-images/kickstarterCrates120x125.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterFAQBanner.png	O	2979492bc5df500fc1882ec11632f81b5cbe59a79fd79d89397c21c81945adac	archive/classic-ui-images/kickstarterFAQBanner.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterFeature120x91.png	O	d74aa9c668194ada584f23c778e4fd0b54bd78cc4844d50d081fc67e087abf61	archive/classic-ui-images/kickstarterFeature120x91.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterLogo100x39.png	O	7cf8c2ec4d0d0ff6a451feef999bb2f8198e9bab602df4251648d6ce2af3d4fc	archive/classic-ui-images/kickstarterLogo100x39.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterLogo100x39_black_white.png	O	fae55d810c8f17116f5395de282f96c948435d8c5f1fcbd9d2ea1a2ec7936204	archive/classic-ui-images/kickstarterLogo100x39_black_white.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/kickstarterLogo158x19.png	O	7622dc68e99942c0dbca643eee5949b69890545219675056caf552eda71c9e68	archive/classic-ui-images/kickstarterLogo158x19.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/logInToGetStarted.jpg	O	fa7a04927c818e61da58f971e29f99cbb9434756dc7ede241bf90934e4af93d7	archive/classic-ui-images/logInToGetStarted.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/logInToGetStarted.png	O	3b01eae98bdfb17a5a405d5e0dcd33cc129e1fa1ac091b14011e06fabeab6876	archive/classic-ui-images/logInToGetStarted.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
